time,tavg,tmin,tmax,prcp,season
08-05-1990,30.6,23.6,36.4,0.0,spring
09-05-1990,32.2,25.6,38.0,0.0,spring
10-05-1990,32.9,26.9,38.0,0.0,spring
11-05-1990,29.7,,38.0,0.0,spring
12-05-1990,30.2,,36.8,,spring
13-05-1990,31.1,,35.4,0.0,spring
14-05-1990,33.6,26.2,39.3,0.0,spring
15-05-1990,34.6,28.7,39.9,0.0,spring
16-05-1990,32.6,27.5,37.5,0.0,spring
17-05-1990,34.7,,41.0,,spring
18-05-1990,32.3,26.7,,0.0,spring
19-05-1990,32.3,27.0,39.4,0.0,spring
20-05-1990,32.7,25.5,39.5,3.0,spring
21-05-1990,33.7,28.5,40.0,0.0,spring
22-05-1990,32.6,27.8,40.9,0.0,spring
23-05-1990,32.8,26.7,,0.0,spring
24-05-1990,33.6,26.4,41.3,0.0,spring
25-05-1990,32.9,28.0,,0.0,spring
26-05-1990,35.7,29.8,41.8,0.0,spring
27-05-1990,36.2,31.2,41.7,0.0,spring
28-05-1990,36.9,31.8,42.7,0.0,spring
29-05-1990,33.7,,42.5,,spring
30-05-1990,31.5,26.4,38.7,,spring
31-05-1990,30.6,,37.3,0.0,spring
01-06-1990,32.4,26.8,40.2,0.0,summer
02-06-1990,34.9,27.1,41.0,0.0,summer
03-06-1990,36.6,30.5,41.7,0.0,summer
04-06-1990,36.1,29.8,42.2,,summer
05-06-1990,35.9,29.9,42.5,0.0,summer
06-06-1990,34.1,,41.6,,summer
07-06-1990,35.2,25.3,40.9,11.4,summer
08-06-1990,35.3,29.8,41.6,0.0,summer
09-06-1990,36.0,29.9,42.1,,summer
10-06-1990,35.8,30.0,41.6,0.0,summer
11-06-1990,34.2,27.9,39.4,0.0,summer
12-06-1990,32.2,25.1,37.1,0.0,summer
13-06-1990,31.8,27.7,37.9,0.0,summer
14-06-1990,35.3,27.1,40.6,0.0,summer
15-06-1990,34.3,27.9,41.2,0.0,summer
16-06-1990,33.8,29.4,41.3,0.0,summer
17-06-1990,34.4,28.8,40.8,0.0,summer
